Name,Phone,Website,TonsOfInfo,Locality,Categories,Links,Badges,Amenities
Calhoun Plumbing,(614) 594-3691,https://www.calhounplumbing.com,"in Business,with,Yellow Pages,Accredited,Business,(614) 594-3691,959 Frebis Avenue,Columbus, OH 43206,CLOSED NOW","Columbus, OH 43206",,,,
Accurate  Plumbing,(614) 503-0753,https://www.accurateplumbinginc.com,"in Business,with,Yellow Pages,Accredited,Business,(614) 503-0753,7595 Fishel Dr S,Dublin, OH 43016,CLOSED NOW","Dublin, OH 43016",,,,
Woods Jack L Plumbing Co Inc,(614) 682-2161,http://woodsjacklplumbingcoinc.localsearch.com,"in Business,with,Yellow Pages,Accredited,Business,(614) 682-2161,130 E Home St,Westerville, OH 43081,CLOSED NOW","Westerville, OH 43081",,,,
"Thomas & Galbraith Heating, Cooling & Plumbing",(513) 342-8775,https://thomasgalbraith.com,"in Business,with,Yellow Pages,Accredited,Business,(513) 342-8775,9520 Le Saint Dr,Fairfield, OH 45014,OPEN 24 Hours","Fairfield, OH 45014",,,,
A Buckeye Rooter Service,(614) 491-3519,/columbus-oh/mip/a-buckeye-rooter-service-475630941?lid=1000108776151,"in Business,Accredited,Business,(614) 491-3519,Columbus, OH 43215,OPEN NOW","Columbus, OH 43215",,,,
"Fritz Baumann & Sons, LLC",(614) 444-5522,http://fritzbaumannplumbinginc.com,"in Business,Accredited,Business,(614) 444-5522,Columbus OH 43206,Columbus, OH 43206,CLOSED NOW","Columbus, OH 43206",,,,
"B & M Backflow Services, LLC",(614) 754-7329,/columbus-oh/mip/b-m-backflow-services-llc-190691#open-menu,"in Business,Accredited,Business,(614) 754-7329,1017 Holly Hill Dr,Columbus, OH 43228","Columbus, OH 43228",,,,
